,infl_e,rate,sp500,corp_debt,deflator,unempl,gdp,rpi,dpi,manufacturing,splong
1990-01-01,4.1,8.229032258064516,,444.72818181818184,4.4,6.0,5872.701,8170.022,7187.4,3.3,339.9718184037642
1990-02-01,4.1,8.237142857142858,,442.4673684210526,4.466666666666667,5.9,5901.81,8195.397,7203.3,3.1916666666666664,330.45263511256167
1990-03-01,3.7,8.276774193548386,,443.52521739130435,4.533333333333333,5.5,5930.919,8203.337,7206.1,3.083333333333333,338.46500049937856
1990-04-01,3.6,8.255,,443.44350000000003,4.6,5.3,5960.028,8255.647,7253.4,2.9749999999999996,338.1779983520508
1990-05-01,3.4,8.176451612903225,,446.9168181818182,4.233333333333333,5.2,5978.390666666667,8246.75,7245.8,2.8666666666666667,350.2500013871626
1990-06-01,3.8,8.288666666666666,,456.72590909090906,3.8666666666666667,5.4,5996.753333333333,8260.44,7257.3,2.7583333333333333,360.3866664341518
1990-07-01,3.4,8.15258064516129,,460.4171428571429,3.5,5.6,6015.116,8288.531,7283.7,2.65,360.0309520903088
1990-08-01,4.6,8.134193548387097,,458.5278260869565,3.3333333333333335,5.5,6011.655,8236.691,7239.1,2.5416666666666665,330.7465196692425
1990-09-01,4.7,8.195,,458.3535,3.1666666666666665,5.6,6008.194,8233.907,7236.8,2.433333333333333,315.40684268349094
1990-10-01,4.8,8.112580645161291,,462.56391304347824,3.0,5.5,6004.733,8167.115,7178.7,2.325,307.1247850501019
1990-11-01,4.7,7.806666666666667,,469.93666666666667,3.3333333333333335,5.9,6014.881333333334,8168.212,7181.9,2.216666666666667,315.2909531366257
1990-12-01,4.7,7.312903225806451,,479.3005,3.6666666666666665,6.0,6025.029666666666,8210.825,7224.7,2.1083333333333334,328.74950256347654
1991-01-01,3.9,6.906451612903226,,482.9786363636364,4.0,7.1,6035.178,8157.383,7205.7,2.0,325.4854555996981
1991-02-01,3.4,6.2524999999999995,,493.1589473684211,3.6666666666666665,7.3,6065.739333333333,8164.096,7216.8,2.2416666666666667,362.2631578947368
1991-03-01,3.3,6.115161290322581,,493.5557142857143,3.3333333333333335,7.2,6096.300666666667,8176.58,7229.1,2.4833333333333334,372.2789993286133
1991-04-01,3.2,5.912333333333334,,502.33,3.0,6.5,6126.862,8208.244,7258.0,2.725,379.6786360307173
1991-05-01,3.1,5.782903225806452,,507.31045454545455,3.066666666666667,6.7,6153.220333333334,8209.444,7259.5,2.966666666666667,377.9922721169212
1991-06-01,3.3,5.899666666666667,,506.5919047619048,3.1333333333333333,7.0,6179.578666666666,8252.295,7296.7,3.2083333333333335,378.2929992675781
1991-07-01,3.1,5.820967741935483,,511.41727272727275,3.2,6.8,6205.937,8233.054,7282.0,3.45,380.2268177379261
1991-08-01,3.2,5.661290322580645,,525.5930434782608,2.9333333333333336,6.6,6225.471333333333,8248.575,7298.3,3.691666666666667,389.4031788219105
1991-09-01,3.0,5.447,,534.6285,2.6666666666666665,6.5,6245.005666666667,8273.586,7317.7,3.9333333333333336,387.19850006103513
1991-10-01,3.2,5.209677419354839,,541.0569565217392,2.4,6.5,6264.54,8284.054,7328.0,4.175000000000001,386.88347990616506
1991-11-01,2.9,4.811333333333334,,548.277619047619,2.1,6.7,6297.394,8296.928,7338.4,4.416666666666667,385.919499206543
1991-12-01,2.7,4.434193548387097,,559.4409523809524,1.7999999999999998,6.9,6330.248,8365.723,7403.6,4.658333333333333,388.5104762486049
1992-01-01,2.7,4.034193548387097,,564.73,1.5,8.1,6363.102,8405.155,7474.8,4.9,416.0749969482422
1992-02-01,2.6,4.057586206896552,,562.5525,1.8,8.2,6398.989,8444.994,7507.2,4.7,412.55579095137745
1992-03-01,2.6,3.983225806451613,,562.1995454545454,2.1,7.8,6434.876,8457.388,7513.8,4.5,407.3645449551669
1992-04-01,3.0,3.734666666666667,,569.4428571428571,2.4,7.2,6470.763,8487.783,7535.0,4.300000000000001,407.40714372907365
1992-05-01,2.9,3.823225806451613,,576.3961904761904,2.2666666666666666,7.3,6502.722333333333,8531.932,7570.2,4.1000000000000005,414.814501953125
1992-06-01,3.1,3.7626666666666666,,584.3277272727272,2.1333333333333333,8.0,6534.681666666666,8566.719,7601.6,3.9000000000000004,408.2745472301136
1992-07-01,2.7,3.253548387096774,,600.3068181818181,2.0,7.7,6566.641,8559.118,7595.9,3.7,415.0513638583097
1992-08-01,2.8,3.303225806451613,,610.1528571428572,2.2666666666666666,7.4,6604.695,8591.676,7622.6,3.5,417.9271429152716
1992-09-01,3.0,3.219666666666667,,617.547619047619,2.533333333333333,7.3,6642.749,8558.368,7586.9,3.3,418.4771423339844
1992-10-01,2.8,3.099032258064516,,613.8839130434783,2.8,6.9,6680.803,8515.933,7537.9,3.1,412.5027285489169
1992-11-01,2.9,3.0876666666666663,,610.038,2.6333333333333333,7.1,6697.0216666666665,8534.33,7549.3,2.9,422.8439971923828
1992-12-01,2.8,2.919677419354839,,616.670909090909,2.4666666666666663,7.1,6713.240333333333,8845.712,7818.6,2.6999999999999997,435.6395457874645
1993-01-01,2.9,3.024193548387097,,626.3285714285714,2.3,8.0,6729.459,8602.353,7648.1,2.5,435.22899932861327
1993-02-01,3.2,3.027142857142857,,639.6335,2.333333333333333,7.8,6755.952333333334,8642.143,7684.5,2.5416666666666665,441.70368074115953
1993-03-01,3.1,3.074193548387097,,652.0647826086956,2.3666666666666667,7.4,6782.4456666666665,8619.726,7660.8,2.5833333333333335,450.15521638289744
1993-04-01,3.0,2.957666666666667,,656.734761904762,2.4,6.9,6808.939,8684.645,7700.6,2.625,443.0776207333519
1993-05-01,2.9,2.9961290322580645,,658.6719047619048,2.4,6.8,6833.325333333333,8682.682,7689.4,2.6666666666666665,445.24649810791016
1993-06-01,3.5,3.038,,665.3068181818181,2.4,7.2,6857.711666666667,8671.95,7675.1,2.7083333333333335,448.0595439564098
1993-07-01,3.0,3.055483870967742,,675.1540909090909,2.4,7.0,6882.098,8699.937,7694.3,2.75,447.28618803478423
1993-08-01,3.2,3.032258064516129,,685.4695454545455,2.3333333333333335,6.6,6925.978,8718.737,7705.4,2.7916666666666665,454.1277285489169
1993-09-01,3.0,3.0863333333333336,,699.8457142857143,2.2666666666666666,6.4,6969.858,8699.123,7684.4,2.8333333333333335,459.23523385184154
1993-10-01,3.3,2.9925806451612904,,703.4422727272727,2.2,6.4,7013.738,8662.656,7646.9,2.875,463.8999968029204
1993-11-01,2.8,3.0180000000000002,,694.1571428571428,2.1,6.2,7047.709333333333,8684.88,7668.1,2.9166666666666665,462.8904753185454
1993-12-01,3.0,2.9551612903225806,,697.5877272727273,2.0,6.1,7081.680666666667,8986.914,7929.4,2.9583333333333335,465.94545676491475
1994-01-01,2.8,3.0506451612903227,,703.3209523809523,1.9,7.3,7115.652,8808.902,7780.4,3.0,472.9928574335007
1994-02-01,2.8,3.245,,699.8863157894737,1.9,7.1,7159.411666666667,8817.405,7795.0,3.0583333333333336,471.5799994217722
1994-03-01,3.0,3.335806451612903,,684.6513043478261,1.9,6.8,7203.171333333333,8840.918,7820.5,3.1166666666666667,463.8078268299932
1994-04-01,3.0,3.555,,670.2305,1.9,6.2,7246.931,8923.036,7820.4,3.175,447.2321070620888
1994-05-01,3.1,4.010967741935484,,666.1233333333333,2.033333333333333,5.9,7274.978999999999,8941.155,7910.6,3.2333333333333334,450.89857264927457
1994-06-01,2.7,4.245666666666667,,672.6818181818181,2.1666666666666665,6.2,7303.027,8929.074,7898.1,3.291666666666667,454.825908314098
1994-07-01,2.9,4.256129032258064,,671.0871428571429,2.3,6.2,7331.075,8944.497,7905.0,3.35,451.40099945068357
1994-08-01,3.1,4.474516129032258,,677.4021739130435,2.2666666666666666,5.9,7372.479333333333,8957.46,7914.4,3.408333333333333,464.2430459727412
1994-09-01,3.4,4.733666666666666,,673.7871428571428,2.2333333333333334,5.6,7413.883666666667,8996.696,7949.0,3.466666666666667,466.9580920991443
1994-10-01,3.0,4.76,,668.4871428571429,2.2,5.4,7455.288,9076.95,8024.4,3.5250000000000004,463.81380934942337
1994-11-01,3.2,5.294666666666667,,665.1990476190476,2.2,5.3,7477.621666666666,9074.779,8023.9,3.5833333333333335,461.0152398972284
1994-12-01,3.0,5.453225806451614,,673.3418181818182,2.2,5.1,7499.955333333333,9117.741,8060.2,3.6416666666666666,455.1866643996466
1995-01-01,3.0,5.52741935483871,,678.8142857142857,2.2,6.2,7522.289,9159.706,8086.0,3.7,465.25
1995-02-01,3.0,5.915357142857142,,694.3973684210526,2.1,5.9,7541.858333333334,9180.168,8102.0,3.725,481.92473722759047
1995-03-01,3.2,5.976451612903226,,709.2482608695652,2.0,5.7,7561.4276666666665,9203.415,8124.2,3.75,493.1530469811481
1995-04-01,3.3,6.047333333333333,,720.167,1.9,5.6,7580.997,9214.181,8064.0,3.7750000000000004,507.9057906301398
1995-05-01,3.0,6.009032258064516,,742.5831818181819,1.9333333333333333,5.5,7615.039666666667,9221.249,8145.6,3.8000000000000003,523.8136402476918
1995-06-01,2.9,6.001333333333333,,764.0472727272728,1.9666666666666666,5.8,7649.082333333334,9255.248,8169.8,3.825,539.3540843616832
1995-07-01,2.9,5.851935483870967,,764.0385,2.0,5.9,7683.125,9286.334,8187.8,3.85,557.3664978027343
1995-08-01,2.9,5.735161290322581,,760.4778260869566,1.9666666666666666,5.6,7712.945333333333,9299.788,8193.0,3.875,559.1100012737771
1995-09-01,2.8,5.804666666666666,,777.1161904761905,1.9333333333333333,5.4,7742.765666666667,9335.583,8219.4,3.9,578.765493774414
1995-10-01,2.9,5.756129032258064,,788.8113636363636,1.9,5.2,7772.586,9349.228,8228.4,3.925,582.9181823730469
1995-11-01,2.8,5.803,,797.6161904761905,1.9,5.3,7804.546666666667,9379.567,8250.5,3.95,595.5323806036087
1995-12-01,2.7,5.601935483870967,,811.757142857143,1.9,5.2,7836.507333333333,9396.526,8261.3,3.975,614.5709991455078
1996-01-01,2.8,5.564838709677419,,818.8818181818183,1.9,6.3,7868.468,9428.309,8272.1,4.0,614.4200051047585
1996-02-01,2.8,5.224482758620689,,816.8100000000001,1.8333333333333333,6.0,7923.258666666667,9506.777,8335.8,4.066666666666666,649.5420043945312
1996-03-01,2.9,5.314193548387097,,800.6531818181818,1.7666666666666666,5.8,7978.049333333333,9539.993,8362.4,4.133333333333333,647.0747593470982
1996-04-01,3.0,5.223666666666667,,794.7595454545454,1.7,5.4,8032.84,9565.104,8311.8,4.2,647.1728544689361
1996-05-01,3.1,5.235161290322581,,792.7490909090909,1.5666666666666667,5.4,8065.696,9606.394,8416.8,4.266666666666667,661.2304548783736
1996-06-01,2.9,5.2733333333333325,,791.8971428571429,1.4333333333333333,5.5,8098.552000000001,9670.238,8467.1,4.333333333333333,668.4989929199219
1996-07-01,3.0,5.396451612903226,,798.9481818181819,1.3,5.6,8131.408,9650.331,8444.0,4.4,644.0704539905895
1996-08-01,3.1,5.222903225806451,,813.6265217391305,1.6,5.1,8174.195666666667,9681.266,8464.7,4.466666666666667,662.6822787198154
1996-09-01,3.2,5.299,,809.8845,1.9000000000000001,5.0,8216.983333333334,9708.672,8483.9,4.533333333333333,674.885498046875
1996-10-01,3.0,5.2380645161290325,,829.2952173913044,2.2,4.9,8259.771,9710.076,8482.7,4.6,701.4556539784307
1996-11-01,3.0,5.311000000000001,,850.3595238095238,2.2666666666666666,5.0,8294.065666666667,9741.024,8505.1,4.666666666666666,735.6690063476562
1996-12-01,3.0,5.2945161290322575,,850.4671428571429,2.3333333333333335,5.0,8328.360333333334,9778.588,8533.1,4.733333333333333,743.249040876116
1997-01-01,3.0,5.2545161290322575,,843.2759090909091,2.4,5.9,8362.655,9834.79,8556.4,4.8,766.216816295277
1997-02-01,3.0,5.185714285714285,,856.1121052631579,1.8666666666666667,5.7,8414.711666666668,9865.668,8579.2,4.766666666666667,798.3842163085938
1997-03-01,2.8,5.386129032258064,,847.5865,1.3333333333333333,5.5,8466.768333333333,9912.112,8619.0,4.733333333333333,792.1555023193359
1997-04-01,3.0,5.507333333333333,,843.4654545454546,0.8,4.8,8518.825,9919.423,8624.5,4.7,763.9281865900213
1997-05-01,2.9,5.5041935483870965,,857.6713636363637,1.1333333333333333,4.7,8566.824333333334,9964.583,8661.9,4.666666666666667,833.0914306640625
1997-06-01,2.8,5.555666666666666,,873.1652380952381,1.4666666666666668,5.2,8614.823666666667,10000.824,8689.7,4.633333333333334,876.2861909412202
1997-07-01,2.7,5.521290322580645,,893.3854545454545,1.8,5.0,8662.823,10045.882,8723.1,4.6,925.2945445667614
1997-08-01,2.7,5.542258064516129,,893.8245454545454,1.6333333333333333,4.8,8697.184333333333,10105.556,8768.6,4.566666666666666,927.7357119605655
1997-09-01,2.8,5.540666666666667,,903.1066666666668,1.4666666666666668,4.7,8731.545666666667,10136.11,8791.5,4.533333333333333,937.0242861793155
1997-10-01,2.8,5.4961290322580645,,916.2891304347827,1.3,4.4,8765.907,10189.34,8834.8,4.5,951.1595618206521
1997-11-01,2.9,5.5216666666666665,,922.9271428571429,1.0666666666666667,4.3,8799.431333333332,10262.137,8892.2,4.466666666666667,938.9236899928043
1997-12-01,2.8,5.504838709677419,,930.9599999999999,0.8333333333333333,4.4,8832.955666666667,10325.103,8944.3,4.433333333333334,962.3654563210227
1998-01-01,2.3,5.55741935483871,,947.6168181818182,0.6,5.2,8866.48,10417.404,9022.9,4.4,963.3590026855469
1998-02-01,2.4,5.505714285714285,,946.9109523809524,0.7,5.0,8900.886333333334,10490.223,9081.2,4.525,1023.7421136153372
1998-03-01,2.5,5.493548387096775,,948.4981818181818,0.8,5.0,8935.292666666666,10555.838,9134.4,4.65,1076.8277310458097
1998-04-01,2.4,5.445333333333334,,955.5276190476189,0.9,4.1,8969.699,10595.962,9164.1,4.775,1112.1961960565477
1998-05-01,2.6,5.488709677419355,,960.6636363636363,1.1666666666666667,4.2,9020.165,10645.347,9202.0,4.9,1108.4169982910157
1998-06-01,2.7,5.558666666666666,,973.5368181818183,1.4333333333333333,4.7,9070.631,10707.166,9254.2,5.025,1108.389531915838
1998-07-01,2.6,5.5358064516129035,,977.85,1.7,4.7,9121.097,10726.5,9270.0,5.15,1156.5772705078125
1998-08-01,2.4,5.546774193548386,,984.4795238095238,1.5,4.5,9178.728333333333,10767.064,9299.3,5.275,1074.6204717726935
1998-09-01,2.3,5.511666666666667,,990.3086363636364,1.3,4.4,9236.359666666667,10803.967,9325.5,5.4,1020.6400001162574
1998-10-01,2.5,5.070967741935483,,1000.6334782608695,1.1,4.2,9293.991,10823.508,9337.5,5.525,1032.470009543679
1998-11-01,2.3,4.826,,991.2385714285714,1.1666666666666667,4.1,9333.221333333333,10874.887,9374.6,5.65,1144.4334838867187
1998-12-01,2.5,4.683548387096774,,1015.8072727272727,1.2333333333333334,4.0,9372.451666666668,10900.473,9391.7,5.775,1190.0509033203125
1999-01-01,2.7,4.6325806451612905,,1018.6085714285714,1.3,4.8,9411.682,10942.984,9444.1,5.9,1248.7747353001644
1999-02-01,2.5,4.764642857142857,,1010.4661904761905,1.3666666666666667,4.7,9449.858,10988.184,9476.2,5.7,1246.5821147717927
1999-03-01,2.7,4.809354838709678,,1008.2304347826087,1.4333333333333333,4.4,9488.034,11000.779,9484.1,5.5,1281.663913892663
1999-04-01,2.7,4.7363333333333335,,1018.585909090909,1.5,4.1,9526.21,10969.064,9453.0,5.300000000000001,1334.7566615513392
1999-05-01,2.8,4.742258064516129,,1005.6642857142857,1.4666666666666666,4.0,9579.681999999999,10994.059,9469.3,5.1000000000000005,1332.0740112304688
1999-06-01,2.5,4.764666666666667,,988.2118181818182,1.4333333333333333,4.5,9633.154,11033.786,9501.3,4.9,1322.552734375
1999-07-01,2.7,4.994193548387097,,997.0808695652174,1.4,4.5,9686.626,11061.061,9519.0,4.7,1380.990001860119
1999-08-01,2.8,5.072258064516129,,987.9795454545455,1.6666666666666667,4.2,9757.807,11111.719,9559.1,4.5,1327.488653009588
1999-09-01,2.7,5.224333333333333,,992.3531818181818,1.9333333333333336,4.1,9828.988,11105.537,9546.7,4.3,1318.1719040643602
1999-10-01,2.9,5.199999999999999,,989.9172727272727,2.2,3.8,9900.169,11171.257,9598.7,4.1,1300.010009765625
1999-11-01,2.9,5.42,,1004.3527272727272,2.3666666666666667,3.8,9934.172333333334,11247.83,9660.9,3.9,1391.0028483072917
1999-12-01,3.0,5.295806451612902,,1001.3239130434783,2.5333333333333337,3.7,9968.175666666666,11339.82,9735.9,3.6999999999999997,1428.6840931285512
2000-01-01,3.0,5.448387096774193,,992.5595238095239,2.7,4.5,10002.179,11441.669,9799.9,3.5,1425.5855041503905
2000-02-01,2.9,5.7348275862068965,,1002.3633333333333,2.6333333333333333,4.4,10084.026,11488.814,9837.9,3.3666666666666667,1388.8744995117188
2000-03-01,3.2,5.853548387096774,,1008.3256521739131,2.566666666666667,4.3,10165.873,11520.777,9864.0,3.2333333333333334,1442.212598717731
2000-04-01,3.2,6.019666666666667,,1014.2940000000001,2.5,3.7,10247.72,11582.719,9913.7,3.1,1461.3552567331415
2000-05-01,3.0,6.268064516129033,,990.6047826086957,2.466666666666667,3.8,10271.201666666666,11624.34,9954.5,2.966666666666667,1418.4795476740057
2000-06-01,2.9,6.528333333333333,,1012.085909090909,2.433333333333333,4.1,10294.683333333334,11657.461,9982.3,2.8333333333333335,1461.9590897993608
2000-07-01,3.0,6.5445161290322575,,1026.317142857143,2.4,4.2,10318.165,11719.57,10035.9,2.7,1473.0024963378905
2000-08-01,2.7,6.496774193548387,,1041.294347826087,2.3333333333333335,4.1,10357.358,11783.694,10098.3,2.5666666666666664,1485.45825726053
2000-09-01,2.9,6.5169999999999995,,1047.870909090909,2.2666666666666666,3.8,10396.551000000001,11794.536,10110.3,2.4333333333333336,1468.05400390625
2000-10-01,3.2,6.509354838709677,,1055.8277272727273,2.2,3.6,10435.744,11824.829,10139.2,2.3,1390.144092906605
2000-11-01,2.9,6.514333333333334,,1058.9131818181818,2.3666666666666667,3.7,10447.239666666666,11832.213,10143.5,2.166666666666667,1375.0376034691221
2000-12-01,2.8,6.402258064516129,,1081.674761904762,2.5333333333333337,3.7,10458.735333333334,11859.86,10164.3,2.033333333333333,1330.9294982910155
2001-01-01,3.0,5.975806451612903,,1102.2895454545453,2.7,4.7,10470.231,11932.006,10211.7,1.9,1335.6390555245537
2001-02-01,2.8,5.494285714285715,,1118.2795,2.6,4.6,10513.154,11960.086,10223.4,2.4666666666666663,1305.7515804893092
2001-03-01,2.8,5.3109677419354835,,1135.408260869565,2.5,4.5,10556.077,12003.752,10254.4,3.033333333333333,1185.850008877841
2001-04-01,3.1,4.8020000000000005,,1131.094,2.4,4.2,10599.0,11981.996,10233.1,3.5999999999999996,1189.8369995117187
2001-05-01,3.2,4.21225806451613,,1137.1752173913044,2.1333333333333333,4.1,10598.673333333334,11953.393,10214.7,4.166666666666666,1270.3686356977983
2001-06-01,3.0,3.969666666666667,,1153.9204545454545,1.8666666666666667,4.7,10598.346666666666,11940.34,10218.1,4.7333333333333325,1238.7104666573662
2001-07-01,2.6,3.769032258064516,,1163.4140909090909,1.6,4.7,10598.02,11940.991,10370.7,5.299999999999999,1204.4495210193452
